Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.38777878078145E-17,-0.0127,6.93889390390723E-18,0,0,0,0.490850573366671,0.000855919788648549,3.25818543063552E-17,3.01662429210596E-19,0.00166196578431783,3.59921611750981E-17,0.000855919789010098,0,0,0,0,0,0,package://right_mecanum wheel/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/base_link.STL,,right hub-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RR1,0,2.98372437868011E-16,0,0,0,0,0.0211185318668682,8.01298624970935E-06,-3.17637355220363E-21,-1.24378948822259E-22,1.27238493435805E-06,-1.22014422871463E-20,8.01298624970935E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR1.STL,,roller-1,Coordinate System2,Axis2,RR1_joint,continuous,0,-0.0127,0.09652,0,0,-0.7854,base_link,0,-1,0,,,,,,,,,,,,
RR2,1.38777878078145E-17,4.5102810375397E-16,1.38777878078145E-17,0,0,0,0.0211185318668682,8.01298624970907E-06,-4.55280209149186E-21,-3.3923716340002E-22,1.2723849343575E-06,-1.47606600784433E-20,8.01298624970907E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR2.STL,,roller-2,Coordinate System3,Axis3,RR2_joint,continuous,0.041878,-0.0127,0.086962,-0.32821,0.31183,-0.83745,base_link,0,-1,0,,,,,,,,,,,,
RR3,0,-0.00317499999999969,0,0,0,0,0.0211185318668681,8.01298624970844E-06,-5.39983503874616E-21,-2.55304879454228E-22,1.27238493435635E-06,-1.20061295232859E-20,8.01298624970844E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR3.STL,,roller-3,Coordinate System4,Axis4,RR3_joint,continuous,0.076862,-0.010455,0.058424,-0.72541,0.58577,-1.0133,base_link,0,-1,0,,,,,,,,,,,,
RR4,0,2.4980018054066E-16,-2.08166817117217E-17,0,0,0,0.0211185318668683,8.01298624971139E-06,-3.3881317890172E-21,-5.07577612409576E-23,1.27238493436201E-06,-1.22208133204379E-20,8.01298624971138E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR4.STL,,roller-4,Coordinate System5,Axis5,RR4_joint,continuous,0.0941,-0.0127,0.021478,-1.2586,0.76063,-1.3518,base_link,0,-1,0,,,,,,,,,,,,
RR5,-1.3878E-17,1.0408E-16,1.5613E-17,0,0,0,0.021119,8.013E-06,-3.494E-21,-7.4722E-23,1.2724E-06,-8.3851E-22,8.013E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR5.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR5.STL,,roller-5,Coordinate System6,Axis6,RR5_joint,continuous,0.0941,-0.0127,-0.021478,-1.883,0.76063,-1.7897,base_link,0,-1,0,,,,,,,,,,,,
RR6,6.93889390390723E-18,2.42861286636753E-16,-3.46944695195361E-18,0,0,0,0.0211185318668682,8.01298624970916E-06,-3.59989002583078E-21,6.45172095015526E-22,1.2723849343578E-06,-1.20132150092939E-21,8.01298624970916E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR6.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR6.STL,,roller-6,Coordinate System7,Axis7,RR6_joint,continuous,0.075462,-0.0127,-0.060179,-2.4162,0.58577,-2.1283,base_link,0,-1,0,,,,,,,,,,,,
RR7,0,2.6368E-16,2.0817E-17,0,0,0,0.021119,8.013E-06,-4.1822E-21,3.9974E-22,1.2724E-06,-1.1144E-21,8.013E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR7.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR7.STL,,roller-7,Coordinate System8,Axis8,RR7_joint,continuous,0.041878,-0.0127,-0.086962,-2.8134,0.31183,-2.3041,base_link,0,-1,0,,,,,,,,,,,,
RR8,4.92661467177413E-16,7.49400541621981E-16,0,0,0,0,0.0211185318668681,8.0129862497094E-06,-3.75870870344096E-21,-1.15652351935012E-22,1.27238493435816E-06,3.22127699914651E-20,8.0129862497094E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR8.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR8.STL,,roller-8,Coordinate System9,Axis9,RR8_joint,continuous,0,-0.0127,-0.09652,3.1416,0,-2.3562,base_link,0,-1,0,,,,,,,,,,,,
RR9,0,1.1102E-16,0,0,0,0,0.021119,8.013E-06,-3.2293E-21,6.2315E-23,1.2724E-06,-9.8881E-22,8.013E-06,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR9.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://right_mecanum wheel/meshes/RR9.STL,,roller-9,Coordinate System10,Axis10,RR9_joint,continuous,-0.041878,-0.0127,-0.086962,2.8134,-0.31183,-2.3041,base_link,0,-1,0,,,,,,,,,,,,
